  pmRApmDEcor    PlxpmRAcor   PlxpmDEcor    RFG        RFBP          RFRP       E_BR_RP_      Nper          __Fe_H_temp    RA_ICRS       e_RA_ICRS         DE_ICRS       e_DE_ICRS         Source        Plx         e_Plx         pmRA        e_pmRA        pmDE        e_pmDE        Dup          FG          e_FG    Gmag        e_Gmag         FBP      e_FBP       BPmag       e_BPmag        FRP         e_FRP          RPmag      e_RPmag    BP-RP       RV      e_RV    Teff     AG    EBR-RP_    Rad     Lum    Pmemb    Cluster    
 0.4118 -0.5092  0.0449   648.501    50.889    76.028 1.398  9  --- 277.78445767793 0.1591 -12.37530973988 0.1554 4153030206099458304   0.4618  0.175   -0.274 0.299  -1.252 0.251 0      1652.3        2.5478  17.6432 0.0017       672.18        13.209    18.2827 0.0213       1637.4       21.536    16.7266 0.0143  1.5561    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.5185 -0.4936  0.0006  1093.47    185.567    69.026 1.362  9  --- 277.72003324812 0.1049 -12.37985962883 0.1067 4153031069414124544   0.5459  0.1105  -0.029 0.21   -1.414 0.182 0      2823.1        2.5818  17.0616 0.001       1034.1          5.5726   17.815  0.0059       2810.0       40.709    16.1402 0.0157  1.6748    ---   ---  4201.0  ---    ---      ---      ---     0.2   Dias_6 
 0.3198 -0.3998  0.0915  2271.041   235.752   537.635 1.448 11  --- 277.70847553449 0.0378 -12.44299251092 0.0365 4153029488865496064   0.2444  0.0407   0.702 0.072   0.337 0.062 0     76434.0       33.656   13.4802 0.0005     15297.0         64.886    14.8899 0.0046      95344.0      177.34     12.3137 0.002   2.5762    ---   ---  3723.93 1.7787 0.9315   ---      ---     0.2   Dias_6 
 0.1141 -0.4048  0.124   1782.991   124.029   359.805 1.279 11  --- 277.77480966649 0.0457 -12.39637296876 0.0435 4153030107341364096   0.5292  0.0472   0.606 0.089  -1.003 0.073 0     13442.0        7.5389  15.3672 0.0006      5976.4         48.185    15.9103 0.0088      11221.0       31.186    14.6368 0.003   1.2735    ---   ---  4860.38 ---    ---      2.07     2.164   0.1   Dias_6 
 0.284  -0.2938  0.0365  1649.883   287.617   533.926 1.416 11  --- 277.69018625155 0.0462 -12.47684314528 0.0451 4153027903996787968   0.1542  0.0496   0.937 0.087  -0.695 0.075 0     64161.0       38.888   13.6702 0.0007     15388.0         53.503    14.8834 0.0038      75477.0      141.36     12.5674 0.002   2.316     ---   ---  4286.32 1.4175 0.7425   ---      ---     0.1   Dias_6 
 0.5782 -0.5658 -0.1102  1195.816   380.39    353.696 1.261  9  --- 277.75756340914 0.0653 -12.35048954712 0.0598 4153031035054381824   0.384   0.061    0.342 0.125  -1.593 0.102 0     11972.0       10.012   15.4929 0.0009      5900.4         15.512    15.9242 0.0029       9195.4       25.998    14.853  0.0031  1.0712    ---   ---  5056.16 ---    ---      ---      ---     0.2   Dias_6 
 0.3713 -0.361   0.0665  1432.374   242.71    454.305 1.258 11  --- 277.69557517699 0.0428 -12.46197627053 0.0423 4153027942677263104   0.3675  0.0454   0.557 0.081  -0.5   0.071 0     11564.0        8.0732  15.5306 0.0008      5508.5         22.696    15.9988 0.0045       9039.8       19.898    14.8715 0.0024  1.1273    ---   ---  4922.85 ---    ---      2.68     3.8     1.0   Dias_6 
 0.5527 -0.3156  0.1827   660.965    22.767    77.704 1.472  9  --- 277.65491487878 0.2123 -12.39927104119 0.2299 4153030584073472256   0.4428  0.2269   0.454 0.359  -0.869 0.334 0      1322.6        2.001   17.8848 0.0016       368.09        16.168    18.9365 0.0477       1578.9       20.319    16.7661 0.014   2.1704    ---   ---     ---  ---    ---      ---      ---     0.5   Dias_6 
 0.3191 -0.3675  0.0932  1462.58    188.586   313.957 1.307 11  --- 277.73807282094 0.0888 -12.36725184612 0.0877 4153031000694644608   0.2506  0.0959  -0.071 0.169  -0.518 0.147 0      7534.7        5.1516  15.9957 0.0007      2950.9         15.648    16.6765 0.0058       6894.9       21.961    15.1656 0.0035  1.5109    ---   ---  4457.0  ---    ---      ---      ---     0.2   Dias_6 
 0.5077 -0.347   0.0739   497.914    19.638    56.624 1.471 11  --- 277.6590867442  0.158  -12.43329837319 0.1543 4153029042188944896   0.23    0.1579  -0.043 0.303  -0.557 0.276 0      1215.5        2.4413  17.9764 0.0022       327.01        16.652    19.065  0.0553       1461.5       25.811    16.8499 0.0192  2.2151    ---   ---     ---  ---    ---      ---      ---     0.1   Dias_6 
 0.5159 -0.3391 -0.0275   991.493   110.677   192.526 1.399  9  --- 277.63822438434 0.0867 -12.51289323389 0.0854 4153027358561711488   0.5269  0.0808   0.209 0.166  -0.965 0.149 0      4550.4        4.5895  16.5432 0.0011      1806.4         16.321    17.2094 0.0098       4561.8       23.694    15.6141 0.0056  1.5953    ---   ---  4445.5  ---    ---      ---      ---     0.1   Dias_6 
 0.3561 -0.4364  0.1317  1113.234   127.655   428.354 1.261 10  --- 277.72359838477 0.0533 -12.38372578717 0.0523 4153030863255685888   0.5424  0.0596  -0.243 0.104  -0.685 0.093 0      8658.0        7.7773  15.8448 0.001       3918.4         30.695    16.3686 0.0085       6997.1       16.335    15.1496 0.0025  1.219     ---   ---  4889.0  1.26   0.678    1.6      1.317   0.1   Dias_6 
 0.332  -0.3296  0.0444  1657.372    65.683   175.373 1.465 10  --- 277.67122496545 0.0442 -12.4857346297  0.0435 4153027770878569984   0.2532  0.0476   0.416 0.084  -0.554 0.074 0     12914.0        7.7919  15.4107 0.0007      3936.1         59.926    16.3637 0.0165      14986.0       85.452    14.3227 0.0062  2.041     ---   ---  3871.01 ---    ---      ---      ---     0.8   Dias_6 
 0.5693 -0.3278  0.0143  1086.847    44.148   225.591 1.352 10  --- 277.70409129484 0.0969 -12.45588553405 0.0946 4153029420146011776   0.3303  0.0945   0.331 0.187  -1.513 0.176 0      3227.3        2.9694  16.9163 0.001       1283.0         29.061    17.5808 0.0246       3081.7       13.66     16.04   0.0048  1.5409    ---   ---  4498.0  ---    ---      ---      ---     0.3   Dias_6 
 0.4283 -0.3451  0.1252  1277.516   242.87    198.529 1.299 10  --- 277.6354575195  0.0494 -12.46552106789 0.0489 4153028664232428416   0.3336  0.0534   0.637 0.098  -0.539 0.09  0      9837.5        7.7005  15.7062 0.0008      4030.6         16.596    16.338  0.0045       8747.6       44.062    14.9072 0.0055  1.4308    ---   ---  4434.0  ---    ---      ---      ---     0.9   Dias_6 
 0.5367 -0.4028 -0.0405   874.083    25.268    46.508 1.58   9  --- 277.63616696087 0.0963 -12.48193027696 0.094  4153028213234424192   0.407   0.0914  -0.135 0.186  -0.914 0.163 0      3276.5        3.7485  16.8998 0.0012      1110.6         43.951    17.7375 0.043        4067.1       87.448    15.7387 0.0233  1.9988    ---   ---  3963.67 ---    ---      ---      ---     0.2   Dias_6 
 0.3171 -0.3962  0.0831  2793.058   471.183  1149.236 1.357 11  --- 277.68101319233 0.0331 -12.47926104802 0.0321 4153027805238306688   0.4499  0.0355  -0.379 0.063  -1.136 0.055 0     25313.0        9.0626  14.68   0.0004      7439.8         15.79     15.6725 0.0023      26916.0       23.421    13.6869 0.0009  1.9856    ---   ---  3832.34 1.811  0.9032   6.89     9.216   0.2   Dias_6 
